"av_code","codigo_antiguo","nombre","titulo_copy1","descripcion_copy2","texto_principal_copy3","url_meta","url_youtube"
"AV001","AV0100","GENERAL","¿Trabajas, ahorras, haces “lo correcto”… pero sigues sintiendo que no es suficiente?","Tu esfuerzo diario no se refleja en tu cuenta. Y eso no debería ser normal.","Esta semana puede ser el punto de inflexión entre seguir sobreviviendo… o empezar a construir.","https://lainversionsiesparati.com/av001/?r={{ad.id}}","https://lainversionsiesparati.com/av001/?r=AY{creative}"
"AV002","AV2000","AUTÓNOMOS","Cuando eres autónomo, el futuro también hay que trabajarlo.","No puedes permitirte no pensar en lo que viene.","Esta semana es para quienes no tienen red de seguridad.","https://lainversionsiesparati.com/av002/?r={{ad.id}}","https://lainversionsiesparati.com/av002/?r=AY{creative}"
"AV003","AV0400","EMPRENDEDORES","Tu negocio crece… pero tu tranquilidad sigue estancada.","Emprender no debería sentirse como vivir al borde del colapso.","Tu proyecto ya está en marcha. Esta semana es para hacer que tu dinero también empiece a funcionar.","https://lainversionsiesparati.com/av003/?r={{ad.id}}","https://lainversionsiesparati.com/av003/?r=AY{creative}"
"AV004","AV0500","FAMILIAS","Cuidas de todos… pero no sabes si estás construyendo algo estable para el futuro.","No solo se trata de llegar a fin de mes, sino de tener un rumbo.","Esta semana puedes empezar a cuidar tus finanzas como cuidas a los tuyos: con responsabilidad y constancia.","https://lainversionsiesparati.com/av004/?r={{ad.id}}","https://lainversionsiesparati.com/av004/?r=AY{creative}"
"AV005","AV1500","PAREJAS","La inversión no es individual: puede ser el proyecto común que os una.","Hablar de dinero también es hablar de futuro.","Esta semana es una oportunidad para dejar de sobrevivir y empezar a construir juntos.","https://lainversionsiesparati.com/av005/?r={{ad.id}}","https://lainversionsiesparati.com/av005/?r=AY{creative}"
"AV006","AV1600","PERSONAS ENDEUDADAS","Salir de las deudas empieza entendiendo el juego del dinero.","Las deudas pueden agobiarte, pero no te definen.","La Semana de la Inversión puede ser ese primer paso que nunca nadie te enseñó a dar.","https://lainversionsiesparati.com/av006/?r={{ad.id}}","https://lainversionsiesparati.com/av006/?r=AY{creative}"
"AV007","AV2731","FREELANCERS QUE QUIEREN DEJAR DE VIVIR AL DÍA","Trabajas sin jefes, sin horarios… pero también sin una base económica real.","La libertad sin estructura también cansa.","Esta semana es para quienes viven con libertad… y quieren sostenerla sin incertidumbre.","https://lainversionsiesparati.com/av007/?r={{ad.id}}","https://lainversionsiesparati.com/av007/?r=AY{creative}"
"AV008","AV0600","FUNCIONARIOS","Tienes estabilidad… pero sientes que siempre estás en el mismo sitio.","La plaza no te protege del estancamiento financiero.","Esta semana es para quienes tienen seguridad… pero sienten que ya es momento de crecer por cuenta propia.","https://lainversionsiesparati.com/av008/?r={{ad.id}}","https://lainversionsiesparati.com/av008/?r=AY{creative}"
"AV009","AV2747","PADRES Y MADRES QUE QUIEREN INVERTIR EN EL FUTURO DE SUS HIJOS","Te esfuerzas cada día por darles lo mejor… pero sientes que su futuro aún no está asegurado.","Invertir en ti es también invertir en ellos. Su tranquilidad empieza por la tuya.","Esta semana es para quienes no solo educan con amor… también quieren educar con inteligencia financiera.","https://lainversionsiesparati.com/av009/?r={{ad.id}}","https://lainversionsiesparati.com/av009/?r=AY{creative}"
"AV010","AV0501","PADRES SOLTEROS","Lo das todo por tu hijo… pero no sabes cómo organizar lo tuyo sin renunciar a más.","Sostener solo también significa aprender a no quedarte sin nada para ti.","Esta semana es para los que crían solos y quieren darle lo mejor a sus hijos… pero sin olvidar su propio futuro.","https://lainversionsiesparati.com/av010/?r={{ad.id}}","https://lainversionsiesparati.com/av010/?r=AY{creative}"
"AV011","AV2500","PERSONAS DESEMPLEADAS O EN BUSCA DE TRABAJO","No siempre se trata de buscar trabajo, sino de crear nuevas oportunidades.","El mercado laboral puede ser incierto, pero tú tienes el poder de construir algo más.","La Semana de la Inversión puede ser tu puerta a un ingreso que no dependa de un jefe.","https://lainversionsiesparati.com/av011/?r={{ad.id}}","https://lainversionsiesparati.com/av011/?r=AY{creative}"
"AV012","AV2707","ADULTOS DEPENDIENTES ECONÓMICAMENTE DE SUS PADRES","¿Te pesa seguir pidiendo ayuda a tus padres cuando hay gastos imprevistos?","Una decisión puede empezar a darte el control que nunca sentiste.","Si ya no quieres seguir dependiendo, esta semana es para ti.","https://lainversionsiesparati.com/av012/?r={{ad.id}}","https://lainversionsiesparati.com/av012/?r=AY{creative}"
"AV013","AV2708","ADULTOS QUE SIENTEN QUE HAN PERDIDO TIEMPO Y QUIEREN RECUPERAR","¿Sientes que vas tarde para todo… incluso para empezar a vivir bien?","Lo que no hiciste antes, aún puedes hacerlo ahora.","Esta semana es tu oportunidad de recuperar terreno.","https://lainversionsiesparati.com/av013/?r={{ad.id}}","https://lainversionsiesparati.com/av013/?r=AY{creative}"
"AV014","AV2709","AHORRADORES CON DINERO PARADO EN EL BANCO","Tu dinero quieto en el banco también te está costando oportunidades.","Estás perdiendo más por no moverlo que por arriesgarlo.","Si te inquieta no avanzar, esta semana es el primer paso.","https://lainversionsiesparati.com/av014/?r={{ad.id}}","https://lainversionsiesparati.com/av014/?r=AY{creative}"
"AV015","AV2741","MUJERES CON DEPENDENCIA ECONÓMICA","Depender de otros para tomar decisiones duele más que la cifra de tu cuenta bancaria.","Tu libertad también se construye aprendiendo a manejar tu dinero.","Esta semana es para las que quieren dejar de pedir permiso y empezar a tomar sus propias decisiones.","https://lainversionsiesparati.com/av015/?r={{ad.id}}","https://lainversionsiesparati.com/av015/?r=AY{creative}"
"AV016","AV2742","MUJERES EMPRENDEDORAS","Has creado tu propio negocio, pero tus finanzas personales siguen sin despegar.","Tu éxito profesional no debería construirse sobre la inestabilidad económica.","Esta semana es para las que emprendieron, pero aún no tienen libertad financiera.","https://lainversionsiesparati.com/av016/?r={{ad.id}}","https://lainversionsiesparati.com/av016/?r=AY{creative}"
"AV017","AV2778","MADRES Y PADRES","Sois padres jóvenes… y ya cargáis con más presión de la que os toca.","Queréis darles lo mejor, pero aún estáis empezando a crear vuestra propia vida.","Esta semana es para quienes crían desde el amor, y construyen desde cero.","https://lainversionsiesparati.com/av017/?r={{ad.id}}","https://lainversionsiesparati.com/av017/?r=AY{creative}"
"AV018","AV2738","JÓVENES CON SUS PRIMEROS AHORROS (25-35 AÑOS)","Tienes algo ahorrado… pero no sabes por dónde empezar.","Guardarlo no te hará avanzar.","Esta semana es para quienes quieren usar bien su primer paso.","https://lainversionsiesparati.com/av018/?r={{ad.id}}","https://lainversionsiesparati.com/av018/?r=AY{creative}"
"AV019","AV2739","JÓVENES RECIÉN INDEPENDIZADOS","Has empezado tu vida adulta y ya sientes que el dinero no alcanza para todo.","Tu independencia no debería sentirse como una lucha contra los gastos del mes.","Esta semana es para quienes no quieren renunciar a su libertad, ni vivir con el agua al cuello.","https://lainversionsiesparati.com/av019/?r={{ad.id}}","https://lainversionsiesparati.com/av019/?r=AY{creative}"
"AV020","AV0502","MADRES SOLTERAS","Has salido adelante sola… pero aún no sabes cómo avanzar sin miedo a que falte.","Criar sola es difícil. Vivir con el dinero al límite, también.","Esta semana puede ser el inicio de un plan que te dé estabilidad sin tener que depender de nadie.","https://lainversionsiesparati.com/av020/?r={{ad.id}}","https://lainversionsiesparati.com/av020/?r=AY{creative}"
"AV021","AV0700","NÓMADAS DIGITALES","Tu libertad no tiene por qué estar reñida con la inteligencia.","Has diseñado una vida sin jefes ni rutinas.","La Semana de la Inversión es tu mapa hacia esa vida sostenible.","https://lainversionsiesparati.com/av021/?r={{ad.id}}","https://lainversionsiesparati.com/av021/?r=AY{creative}"
"AV022","AV2701","PERSONAS EN SUS 20S","Tienes el tiempo a tu favor, pero nadie te enseñó cómo hacer que tu dinero crezca contigo.","Este es el momento de aprender lo que nunca te contaron.","Esta semana es para quienes no quieren esperar a tener mucho… para empezar a hacerlo bien con su dinero.","https://lainversionsiesparati.com/av022/?r={{ad.id}}","https://lainversionsiesparati.com/av022/?r=AY{creative}"
"AV023","AV2702","PERSONAS EN SUS 30S","Empieza a ver que sin una buena educación financiera, siempre irá apagando fuegos.","Tu futuro empieza ahora, no mañana.","Descubre la semana de la inversión como el primer paso para desbloquear su potencial.","https://lainversionsiesparati.com/av023/?r={{ad.id}}","https://lainversionsiesparati.com/av023/?r=AY{creative}"
"AV024","AV2703","PERSONAS EN SUS 40S","Conectar con la inversión ya no es un lujo, es una urgencia.","Recuperar el control y sentir que lo que construyes ahora de verdad vale la pena.","En tus 40s, sabes lo que significa trabajar duro, pero ahora es el momento de trabajar de forma más inteligente.","https://lainversionsiesparati.com/av024/?r={{ad.id}}","https://lainversionsiesparati.com/av024/?r=AY{creative}"
"AV025","AV2704","PERSONAS EN SUS 50S","La educación financiera no tiene edad.","A lo largo de los años, has trabajado para otros.","La semana de la inversión es una oportunidad real, concreta, y posible.","https://lainversionsiesparati.com/av025/?r={{ad.id}}","https://lainversionsiesparati.com/av025/?r=AY{creative}"
"AV026","AV2705","PERSONAS EN SUS 60S","Descubre que aún puede tomar buenas decisiones financieras.","Tus 60s son para disfrutar, pero para hacerlo, necesitas seguridad.","La semana de la inversión es una luz en el camino.","https://lainversionsiesparati.com/av026/?r={{ad.id}}","https://lainversionsiesparati.com/av026/?r=AY{creative}"
"AV027","AV2706","PERSONAS EN SUS 70S","Aunque no vayan a hacer grandes inversiones, pueden entender cómo funciona el dinero.","En tus 70s, tienes la experiencia y la visión.","La semana de la inversión es una forma amable y clara de lograrlo.","https://lainversionsiesparati.com/av027/?r={{ad.id}}","https://lainversionsiesparati.com/av027/?r=AY{creative}"
"AV028","AV2710","ASESORES FISCALES / LABORALES","Ayudas a otros a organizar su dinero… ¿y tú, ya ordenaste el tuyo?","Lo que sabes de números no basta para que tu dinero crezca.","Descubre cómo invertir, aunque seas quien da los consejos.","https://lainversionsiesparati.com/av028/?r={{ad.id}}","https://lainversionsiesparati.com/av028/?r=AY{creative}"
